eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035365,安康平利县三阳镇赖家沟村拉远-HLH-AKCO754TL,AKCO754TL-1,265053441,安康平利县三阳镇赖家沟村拉远-HLH-AKCO754TL-1,lte,109.013055,32.463333,宏站
1035365,安康平利县三阳镇赖家沟村拉远-HLH-AKCO754TL,AKCO754TL-2,265053442,安康平利县三阳镇赖家沟村拉远-HLH-AKCO754TL-2,lte,109.013055,32.463333,宏站
1035550,安康平利县兴隆镇冠河新村-HLH-AKCO939TL,AKCO939TL-0,265100800,安康平利县兴隆镇冠河新村-HLH-AKCO939TL-0,lte,109.361111,32.536388,宏站
1035550,安康平利县兴隆镇冠河新村-HLH-AKCO939TL,AKCO939TL-1,265100801,安康平利县兴隆镇冠河新村-HLH-AKCO939TL-1,lte,109.361111,32.536388,宏站
1035550,安康平利县兴隆镇冠河新村-HLH-AKCO939TL,AKCO939TL-2,265100802,安康平利县兴隆镇冠河新村-HLH-AKCO939TL-2,lte,109.361111,32.536388,宏站
1035629,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL,AKDO019TL-0,265121024,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL-0,lte,109.365833,32.489722,宏站
1035629,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL,AKDO019TL-1,265121025,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL-1,lte,109.365833,32.489722,宏站
1035629,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL,AKDO019TL-2,265121026,安康平利县兴隆镇马鞍桥-HLH-AKDO019TL-2,lte,109.365833,32.489722,宏站
1035510,安康平利县兴隆镇汝河村-HLH-AKCO899TL,AKCO899TL-0,265090560,安康平利县兴隆镇汝河村-HLH-AKCO899TL-0,lte,109.3375,32.522222,宏站
1035510,安康平利县兴隆镇汝河村-HLH-AKCO899TL,AKCO899TL-1,265090561,安康平利县兴隆镇汝河村-HLH-AKCO899TL-1,lte,109.3375,32.522222,宏站
